date,tier,base_price,is_promo,promo_discount_pct,effective_price,price_changed,price_change_pct
2022-01-02,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-01-02,ad_free,6.99,False,0.0,6.99,False,0.0
2022-01-09,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-01-09,ad_free,6.99,False,0.0,6.99,False,0.0
2022-01-16,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-01-16,ad_free,6.99,False,0.0,6.99,False,0.0
2022-01-23,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-01-23,ad_free,6.99,False,0.0,6.99,False,0.0
2022-01-30,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-01-30,ad_free,6.99,False,0.0,6.99,False,0.0
2022-02-06,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-02-06,ad_free,6.99,False,0.0,6.99,False,0.0
2022-02-13,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-02-13,ad_free,6.99,False,0.0,6.99,False,0.0
2022-02-20,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-02-20,ad_free,6.99,False,0.0,6.99,False,0.0
2022-02-27,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-02-27,ad_free,6.99,False,0.0,6.99,False,0.0
2022-03-06,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-03-06,ad_free,6.99,False,0.0,6.99,False,0.0
2022-03-13,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-03-13,ad_free,6.99,False,0.0,6.99,False,0.0
2022-03-20,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-03-20,ad_free,6.99,False,0.0,6.99,False,0.0
2022-03-27,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-03-27,ad_free,6.99,False,0.0,6.99,False,0.0
2022-04-03,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-04-03,ad_free,6.99,False,0.0,6.99,False,0.0
2022-04-10,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-04-10,ad_free,6.99,False,0.0,6.99,False,0.0
2022-04-17,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-04-17,ad_free,6.99,False,0.0,6.99,False,0.0
2022-04-24,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-04-24,ad_free,6.99,False,0.0,6.99,False,0.0
2022-05-01,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-05-01,ad_free,6.99,False,0.0,6.99,False,0.0
2022-05-08,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-05-08,ad_free,6.99,False,0.0,6.99,False,0.0
2022-05-15,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-05-15,ad_free,6.99,False,0.0,6.99,False,0.0
2022-05-22,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-05-22,ad_free,6.99,False,0.0,6.99,False,0.0
2022-05-29,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-05-29,ad_free,6.99,False,0.0,6.99,False,0.0
2022-06-05,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-06-05,ad_free,6.99,False,0.0,6.99,False,0.0
2022-06-12,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-06-12,ad_free,6.99,False,0.0,6.99,False,0.0
2022-06-19,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-06-19,ad_free,6.99,False,0.0,6.99,False,0.0
2022-06-26,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-06-26,ad_free,6.99,False,0.0,6.99,False,0.0
2022-07-03,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-07-03,ad_free,6.99,False,0.0,6.99,False,0.0
2022-07-10,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-07-10,ad_free,6.99,False,0.0,6.99,False,0.0
2022-07-17,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-07-17,ad_free,6.99,False,0.0,6.99,False,0.0
2022-07-24,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-07-24,ad_free,6.99,False,0.0,6.99,False,0.0
2022-07-31,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-07-31,ad_free,6.99,False,0.0,6.99,False,0.0
2022-08-07,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-08-07,ad_free,6.99,False,0.0,6.99,False,0.0
2022-08-14,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-08-14,ad_free,6.99,False,0.0,6.99,False,0.0
2022-08-21,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-08-21,ad_free,6.99,False,0.0,6.99,False,0.0
2022-08-28,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-08-28,ad_free,6.99,False,0.0,6.99,False,0.0
2022-09-04,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-09-04,ad_free,6.99,False,0.0,6.99,False,0.0
2022-09-11,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-09-11,ad_free,6.99,False,0.0,6.99,False,0.0
2022-09-18,ad_supported,4.99,False,0.0,4.99,False,0.0
2022-09-18,ad_free,6.99,False,0.0,6.99,False,0.0
